i =    0, x = 12.38, y = 7.32, z = 7.58
i = 1554, x = 4.92, y = -6.74, z = 5.86
i = 1557, x = -11.22, y = 7.32, z = 4.98
i = 1560, x = -11.22, y = 7.32, z = -15.53
i = 1563, x = 4.67, y = 7.32, z = 4.99
i = 1566, x = 11.51, y = 7.32, z = -15.53
i = 1569, x = 11.51, y = 7.32, z = 4.98
i = 1572, x = 4.67, y = 7.32, z = 4.99
i = 1575, x = 12.38, y = 7.32, z = 14.65
i = 1578, x = 11.51, y = 7.32, z = 14.65
i = 1581, x = 11.51, y = 7.32, z = 7.65
i = 1584, x = 11.51, y = 7.32, z = 15.53
i = 1587, x = -4.31, y = 7.32, z = 15.53
i = 1590, x = -4.31, y = 7.32, z = 5.86
i = 1593, x = -1.16, y = 0.29, z = 10.69
i = 1596, x = -1.17, y = 0.29, z = 15.53
i = 1599, x = -4.31, y = 0.29, z = 15.53
i = 1602, x = -4.31, y = 0.29, z = 15.53
i = 1605, x = -4.31, y = 0.29, z = 5.86
i = 1608, x = -1.16, y = 0.29, z = 10.69
i = 1611, x = 6.57, y = 0.29, z = 10.71
i = 1614, x = -1.16, y = 0.29, z = 10.69
i = 1617, x = -1.15, y = 0.29, z = 5.86
i = 1620, x = -1.15, y = 0.29, z = 5.86
i = 1623, x = 11.51, y = 0.29, z = 5.86
i = 1626, x = 6.57, y = 0.29, z = 10.71
i = 1629, x = 8.55, y = 0.29, z = 14.67
i = 1632, x = 6.57, y = 0.29, z = 10.71
i = 1635, x = 11.50, y = 0.29, z = 10.72
i = 1638, x = -4.31, y = -6.74, z = 15.53
i = 1641, x = -4.31, y = -6.74, z = 14.65
i = 1644, x = -4.31, y = -5.02, z = 15.53
i = 1647, x = -4.31, y = -1.51, z = 14.65
i = 1650, x = -4.31, y = -1.51, z = 15.53
i = 1653, x = -4.31, y = -5.02, z = 15.53
i = 1656, x = 12.39, y = -6.74, z = -16.40
i = 1659, x = 12.39, y = -6.74, z = -15.53
i = 1662, x = 11.51, y = -6.74, z = -15.53
i = 1665, x = -4.31, y = -5.02, z = 12.01
i = 1668, x = -4.31, y = -5.02, z = 5.86
i = 1671, x = -4.31, y = -1.51, z = 5.86
i = 1674, x = 12.39, y = -6.74, z = 9.73
i = 1677, x = 12.39, y = -5.02, z = 9.73
i = 1680, x = 11.51, y = -5.02, z = 9.73
i = 1683, x = -4.31, y = -6.74, z = 15.53
i = 1686, x = -4.31, y = -5.02, z = 15.53
i = 1689, x = -1.68, y = -5.02, z = 15.53
i = 1692, x = 11.51, y = -6.74, z = 15.53
i = 1695, x = 11.51, y = -5.02, z = 15.53
i = 1698, x = 11.51, y = -5.02, z = 14.65
i = 1701, x = 8.87, y = -6.74, z = 15.53
i = 1704, x = 8.87, y = -5.02, z = 15.53
i = 1707, x = 11.51, y = -5.02, z = 15.53
i = 1710, x = 6.23, y = -6.74, z = 15.53
i = 1713, x = 6.23, y = -5.02, z = 15.53
i = 1716, x = 8.87, y = -5.02, z = 15.53
i = 1719, x = 3.60, y = -6.74, z = 15.53
i = 1722, x = 3.60, y = -5.02, z = 15.53
i = 1725, x = 6.23, y = -5.02, z = 15.53
i = 1728, x = 0.96, y = -6.74, z = 15.53
i = 1731, x = 0.96, y = -5.02, z = 15.53
i = 1734, x = 3.60, y = -5.02, z = 15.53
i = 1737, x = -1.68, y = -6.74, z = 15.53
i = 1740, x = -1.68, y = -5.02, z = 15.53
i = 1743, x = 0.96, y = -5.02, z = 15.53
i = 1746, x = 11.51, y = -5.02, z = 15.53
i = 1749, x = 11.51, y = -1.51, z = 15.53
i = 1752, x = 11.51, y = -1.51, z = 14.65
i = 1755, x = -4.31, y = -5.02, z = 15.53
i = 1758, x = -4.31, y = -1.51, z = 15.53
i = 1761, x = -1.68, y = -1.51, z = 15.53
i = 1764, x = 8.87, y = -5.02, z = 15.53
i = 1767, x = 8.87, y = -1.51, z = 15.53
i = 1770, x = 11.51, y = -1.51, z = 15.53
i = 1773, x = 11.51, y = -5.02, z = 9.73
i = 1776, x = 12.39, y = -5.02, z = 9.73
i = 1779, x = 12.39, y = -1.31, z = 9.73
i = 1782, x = 3.60, y = -5.02, z = 15.53
i = 1785, x = 3.60, y = -1.51, z = 15.53
i = 1788, x = 6.23, y = -1.51, z = 15.53
i = 1791, x = 11.51, y = -6.74, z = 14.65
i = 1794, x = 11.51, y = -5.02, z = 14.65
i = 1797, x = 11.51, y = -5.02, z = 12.78
i = 1800, x = 0.96, y = -5.02, z = 15.53
i = 1803, x = 0.96, y = -1.51, z = 15.53
i = 1806, x = 3.60, y = -1.51, z = 15.53
i = 1809, x = 3.49, y = 6.17, z = 4.99
i = 1812, x = 0.42, y = 6.17, z = 4.98
i = 1815, x = 0.42, y = 6.17, z = 5.86
i = 1818, x = 11.51, y = -6.74, z = 15.53
i = 1821, x = 12.39, y = -6.74, z = 15.53
i = 1824, x = 12.39, y = -6.74, z = 16.40
i = 1827, x = 11.51, y = -6.74, z = 15.53
i = 1830, x = 11.51, y = -6.74, z = 14.65
i = 1833, x = 12.39, y = -6.74, z = 14.65
i = 1836, x = 3.60, y = -1.51, z = 15.53
i = 1839, x = 3.60, y = 0.29, z = 15.53
i = 1842, x = 6.23, y = 0.29, z = 15.53
i = 1845, x = -1.15, y = -1.51, z = 5.86
i = 1848, x = -1.15, y = 0.29, z = 5.86
i = 1851, x = -4.31, y = 0.29, z = 5.86
i = 1854, x = 8.87, y = -1.51, z = 15.53
i = 1857, x = 8.87, y = 0.29, z = 15.53
i = 1860, x = 11.51, y = 0.29, z = 15.53
i = 1863, x = 6.23, y = 0.29, z = 15.53
i = 1866, x = 8.87, y = 0.29, z = 15.53
i = 1869, x = 8.87, y = -1.51, z = 15.53
i = 1872, x = -4.31, y = -1.51, z = 14.65
i = 1875, x = -4.31, y = 0.29, z = 14.65
i = 1878, x = -4.31, y = 0.29, z = 15.53
i = 1881, x = -1.17, y = 0.29, z = 15.53
i = 1884, x = 0.96, y = 0.29, z = 15.53
i = 1887, x = 0.96, y = -1.51, z = 15.53
i = 1890, x = -4.31, y = -1.51, z = 12.01
i = 1893, x = -4.31, y = 0.29, z = 12.01
i = 1896, x = -4.31, y = 0.29, z = 14.65
i = 1899, x = -6.00, y = -6.74, z = -15.53
i = 1902, x = -6.00, y = -6.74, z = -16.40
i = 1905, x = -3.73, y = -6.74, z = -16.40
i = 1908, x = -4.31, y = -1.51, z = 12.01
i = 1911, x = -4.31, y = -1.51, z = 5.86
i = 1914, x = -4.31, y = 0.29, z = 5.86
i = 1917, x = 0.96, y = -1.51, z = 15.53
i = 1920, x = 0.96, y = 0.29, z = 15.53
i = 1923, x = 3.60, y = 0.29, z = 15.53
i = 1926, x = 11.51, y = -1.51, z = 14.65
i = 1929, x = 11.51, y = -1.31, z = 12.78
i = 1932, x = 11.51, y = -5.02, z = 12.78
i = 1935, x = 12.39, y = -1.31, z = 12.78
i = 1938, x = 12.39, y = -5.02, z = 12.78
i = 1941, x = 11.51, y = -5.02, z = 12.78
i = 1944, x = 12.39, y = -6.74, z = 12.78
i = 1947, x = 11.51, y = -6.74, z = 12.78
i = 1950, x = 11.51, y = -5.02, z = 12.78
i = 1953, x = 11.51, y = -5.02, z = 12.78
i = 1956, x = 11.51, y = -1.31, z = 12.78
i = 1959, x = 12.39, y = -1.31, z = 12.78
i = 1962, x = -1.68, y = -1.51, z = 15.53
i = 1965, x = -4.31, y = -1.51, z = 15.53
i = 1968, x = -4.31, y = 0.29, z = 15.53
i = 1971, x = 11.51, y = -6.74, z = 14.65
i = 1974, x = 11.51, y = -6.74, z = 12.78
i = 1977, x = 12.39, y = -6.74, z = 12.78
i = 1980, x = 11.51, y = 0.29, z = 14.65
i = 1983, x = 11.51, y = 0.29, z = 12.78
i = 1986, x = 11.51, y = -1.31, z = 12.78
i = 1989, x = -4.31, y = -1.51, z = 14.65
i = 1992, x = -4.31, y = -6.74, z = 14.65
i = 1995, x = -4.31, y = -5.02, z = 12.01
i = 1998, x = -4.31, y = -5.02, z = 12.01
i = 2001, x = -4.31, y = -1.51, z = 12.01
i = 2004, x = -4.31, y = -1.51, z = 14.65
i = 2007, x = -5.19, y = -6.74, z = 4.98
i = 2010, x = -5.19, y = -6.74, z = 5.86
i = 2013, x = -11.21, y = -6.74, z = 5.86
i = 2016, x = -11.22, y = -6.74, z = 4.98
i = 2019, x = -11.21, y = -6.74, z = 5.86
i = 2022, x = -12.38, y = -6.74, z = 5.86
i = 2025, x = -12.40, y = 0.28, z = -15.53
i = 2028, x = -12.40, y = 0.29, z = -16.40
i = 2031, x = -12.40, y = -6.74, z = -16.40
i = 2034, x = -12.38, y = -6.74, z = 4.98
i = 2037, x = -12.40, y = -6.74, z = -15.53
i = 2040, x = -11.22, y = -6.74, z = -15.53
i = 2043, x = -11.22, y = -6.74, z = -15.53
i = 2046, x = -12.40, y = -6.74, z = -15.53
i = 2049, x = -12.40, y = -6.74, z = -16.40
i = 2052, x = -5.19, y = -6.74, z = 4.98
i = 2055, x = -1.15, y = -6.74, z = 4.98
i = 2058, x = -4.31, y = -6.74, z = 5.86
i = 2061, x = -1.15, y = -6.74, z = 5.86
i = 2064, x = -4.31, y = -6.74, z = 5.86
i = 2067, x = -1.15, y = -6.74, z = 4.98
i = 2070, x = -5.19, y = -6.74, z = 12.01
i = 2073, x = -5.19, y = -6.74, z = 5.86
i = 2076, x = -4.31, y = -6.74, z = 5.86
i = 2079, x = -5.19, y = -6.74, z = 14.65
i = 2082, x = -5.19, y = -6.74, z = 12.01
i = 2085, x = -4.31, y = -6.74, z = 12.01
i = 2088, x = -4.31, y = -6.74, z = 14.65
i = 2091, x = -4.31, y = -6.74, z = 15.53
i = 2094, x = -5.19, y = -6.74, z = 15.53
i = 2097, x = -5.19, y = -6.74, z = 16.40
i = 2100, x = -5.19, y = -6.74, z = 15.53
i = 2103, x = -4.31, y = -6.74, z = 15.53
i = 2106, x = 8.87, y = -6.74, z = 15.53
i = 2109, x = 11.51, y = -6.74, z = 15.53
i = 2112, x = 11.51, y = -6.74, z = 16.40
i = 2115, x = -1.68, y = -6.74, z = 15.53
i = 2118, x = 0.96, y = -6.74, z = 15.53
i = 2121, x = -1.68, y = -6.74, z = 16.40
i = 2124, x = 3.60, y = -6.74, z = 15.53
i = 2127, x = 6.23, y = -6.74, z = 15.53
i = 2130, x = 3.60, y = -6.74, z = 16.40
i = 2133, x = 8.87, y = -6.74, z = 15.53
i = 2136, x = 8.87, y = -6.74, z = 16.40
i = 2139, x = 6.23, y = -6.74, z = 16.40
i = 2142, x = 3.60, y = -6.74, z = 16.40
i = 2145, x = 0.96, y = -6.74, z = 16.40
i = 2148, x = 3.60, y = -6.74, z = 15.53
i = 2151, x = 8.87, y = -6.74, z = 15.53
i = 2154, x = 6.23, y = -6.74, z = 16.40
i = 2157, x = 6.23, y = -6.74, z = 15.53
i = 2160, x = 0.96, y = -6.74, z = 15.53
i = 2163, x = 0.96, y = -6.74, z = 16.40
i = 2166, x = -1.68, y = -6.74, z = 16.40
i = 2169, x = 6.23, y = -6.74, z = 16.40
i = 2172, x = 3.60, y = -6.74, z = 16.40
i = 2175, x = 6.23, y = -6.74, z = 15.53
i = 2178, x = -1.68, y = -6.74, z = 16.40
i = 2181, x = -4.31, y = -6.74, z = 16.40
i = 2184, x = -4.31, y = -6.74, z = 15.53
i = 2187, x = 3.60, y = -6.74, z = 15.53
i = 2190, x = 0.96, y = -6.74, z = 16.40
i = 2193, x = 0.96, y = -6.74, z = 15.53
i = 2196, x = -4.31, y = -6.74, z = 12.01
i = 2199, x = -4.31, y = -6.74, z = 5.86
i = 2202, x = -4.31, y = -5.02, z = 5.86
i = 2205, x = -6.00, y = -6.74, z = -15.53
i = 2208, x = -8.73, y = -6.74, z = -15.53
i = 2211, x = -8.73, y = -6.74, z = -16.40
i = 2214, x = 1.27, y = -6.74, z = -15.53
i = 2217, x = -1.24, y = -6.74, z = -15.53
i = 2220, x = -1.24, y = -6.74, z = -16.40
i = 2223, x = 3.25, y = -6.74, z = -15.53
i = 2226, x = 1.27, y = -6.74, z = -15.53
i = 2229, x = 1.27, y = -6.74, z = -16.40
i = 2232, x = 5.57, y = -6.74, z = -15.53
i = 2235, x = 3.25, y = -6.74, z = -15.53
i = 2238, x = 3.25, y = -6.74, z = -16.40
i = 2241, x = 5.57, y = -6.74, z = -16.40
i = 2244, x = 7.55, y = -6.74, z = -16.40
i = 2247, x = 7.55, y = -6.74, z = -15.53
i = 2250, x = 7.55, y = -6.74, z = -16.40
i = 2253, x = 9.88, y = -6.74, z = -16.40
i = 2256, x = 9.88, y = -6.74, z = -15.53
i = 2259, x = 11.51, y = -6.74, z = -15.53
i = 2262, x = 9.88, y = -6.74, z = -15.53
i = 2265, x = 9.88, y = -6.74, z = -16.40
i = 2268, x = 11.53, y = 0.74, z = -15.52
i = 2271, x = -11.22, y = 0.74, z = -15.53
i = 2274, x = -11.22, y = 0.29, z = -15.53
i = 2277, x = -11.23, y = 0.29, z = 4.98
i = 2280, x = -11.22, y = -6.74, z = 4.98
i = 2283, x = -11.22, y = -6.74, z = -15.53
i = 2286, x = -11.22, y = -6.74, z = -15.53
i = 2289, x = -11.22, y = -6.74, z = -16.40
i = 2292, x = -8.73, y = -6.74, z = -16.40
i = 2295, x = -1.24, y = -6.74, z = -15.53
i = 2298, x = -3.73, y = -6.74, z = -15.53
i = 2301, x = -3.73, y = -6.74, z = -16.40
i = 2304, x = -4.31, y = 0.29, z = 15.53
i = 2307, x = -4.31, y = 0.74, z = 15.53
i = 2310, x = -1.17, y = 0.74, z = 15.53
i = 2313, x = 12.39, y = 0.74, z = 5.89
i = 2316, x = 12.38, y = 7.32, z = 5.89
i = 2319, x = 12.38, y = 7.32, z = 7.58
i = 2322, x = 6.57, y = 0.29, z = 10.71
i = 2325, x = 8.55, y = 0.29, z = 14.67
i = 2328, x = 8.55, y = 0.74, z = 14.67
i = 2331, x = 12.40, y = 0.74, z = 14.66
i = 2334, x = 8.55, y = 0.74, z = 14.67
i = 2337, x = 8.55, y = 0.29, z = 14.67
i = 2340, x = -1.16, y = 0.29, z = 10.69
i = 2343, x = 6.57, y = 0.29, z = 10.71
i = 2346, x = 6.57, y = 0.74, z = 10.71
i = 2349, x = 11.51, y = 7.32, z = 14.65
i = 2352, x = 11.51, y = 7.76, z = 14.65
i = 2355, x = 12.38, y = 7.76, z = 14.65
i = 2358, x = -1.17, y = 7.32, z = 15.53
i = 2361, x = -1.17, y = 7.76, z = 15.53
i = 2364, x = 0.96, y = 7.76, z = 15.53
i = 2367, x = 0.96, y = 7.32, z = 15.53
i = 2370, x = 0.96, y = 7.76, z = 15.53
i = 2373, x = 3.60, y = 7.76, z = 15.53
i = 2376, x = -4.31, y = 7.32, z = 12.01
i = 2379, x = -4.31, y = 7.76, z = 12.01
i = 2382, x = -4.31, y = 7.76, z = 14.65
i = 2385, x = -1.15, y = 0.29, z = 5.86
i = 2388, x = -4.31, y = 0.29, z = 5.86
i = 2391, x = -4.31, y = 0.29, z = 4.98
i = 2394, x = -4.31, y = 0.29, z = 4.98
i = 2397, x = -4.31, y = 0.74, z = 4.98
i = 2400, x = -11.23, y = 0.74, z = 4.98
i = 2403, x = 3.60, y = 7.32, z = 15.53
i = 2406, x = 3.60, y = 7.76, z = 15.53
i = 2409, x = 6.23, y = 7.76, z = 15.53
i = 2412, x = -12.40, y = 0.29, z = -16.40
i = 2415, x = -12.40, y = 0.28, z = -15.53
i = 2418, x = -12.40, y = 0.74, z = -15.53
i = 2421, x = -4.31, y = 0.29, z = 5.86
i = 2424, x = -4.31, y = 0.74, z = 5.86
i = 2427, x = -4.31, y = 0.74, z = 12.01
i = 2430, x = 11.51, y = 0.29, z = 4.98
i = 2433, x = 11.51, y = 0.74, z = 5.01
i = 2436, x = 11.53, y = 0.74, z = -15.52
i = 2439, x = 0.96, y = 0.29, z = 15.53
i = 2442, x = 0.96, y = 0.74, z = 15.53
i = 2445, x = 3.60, y = 0.74, z = 15.53
i = 2448, x = -11.22, y = 0.29, z = -15.53
i = 2451, x = -11.22, y = 0.74, z = -15.53
i = 2454, x = -11.23, y = 0.74, z = 4.98
i = 2457, x = -5.19, y = 0.29, z = 4.98
i = 2460, x = -5.19, y = 0.74, z = 4.98
i = 2463, x = -4.31, y = 0.74, z = 4.98
i = 2466, x = -4.31, y = 0.29, z = 12.01
i = 2469, x = -4.31, y = 0.74, z = 12.01
i = 2472, x = -4.31, y = 0.74, z = 14.65
i = 2475, x = 8.87, y = 0.29, z = 15.53
i = 2478, x = 8.87, y = 0.74, z = 15.53
i = 2481, x = 11.51, y = 0.74, z = 15.53
i = 2484, x = -1.17, y = 0.74, z = 15.53
i = 2487, x = -1.17, y = 7.32, z = 15.53
i = 2490, x = 0.96, y = 7.32, z = 15.53
i = 2493, x = -4.31, y = 0.74, z = 5.86
i = 2496, x = -4.31, y = 7.32, z = 5.86
i = 2499, x = -4.31, y = 7.32, z = 12.01
i = 2502, x = 12.39, y = 0.74, z = 4.94
i = 2505, x = 12.39, y = 0.74, z = 5.89
i = 2508, x = 12.38, y = 7.32, z = 5.89
i = 2511, x = 8.87, y = 0.74, z = 15.53
i = 2514, x = 8.87, y = 7.32, z = 15.53
i = 2517, x = 11.51, y = 7.32, z = 15.53
i = 2520, x = 0.96, y = 0.74, z = 15.53
i = 2523, x = 0.96, y = 7.32, z = 15.53
i = 2526, x = 3.60, y = 7.32, z = 15.53
i = 2529, x = -11.23, y = 0.74, z = 4.98
i = 2532, x = -11.22, y = 0.74, z = -15.53
i = 2535, x = -11.22, y = 7.32, z = -15.53
i = 2538, x = -4.31, y = 0.74, z = 12.01
i = 2541, x = -4.31, y = 7.32, z = 12.01
i = 2544, x = -4.31, y = 7.32, z = 14.65
i = 2547, x = 11.51, y = 0.74, z = 5.86
i = 2550, x = 11.51, y = 0.74, z = 7.65
i = 2553, x = 11.51, y = 7.32, z = 7.65
i = 2556, x = 6.23, y = 0.29, z = 15.53
i = 2559, x = 6.23, y = 0.74, z = 15.53
i = 2562, x = 8.87, y = 0.74, z = 15.53
i = 2565, x = 0.96, y = 0.74, z = 15.53
i = 2568, x = 0.96, y = 0.29, z = 15.53
i = 2571, x = -1.17, y = 0.74, z = 15.53
i = 2574, x = -1.17, y = 0.74, z = 15.53
i = 2577, x = -1.17, y = 0.74, z = 15.53
i = 2580, x = 0.96, y = 0.74, z = 15.53
i = 2583, x = 12.39, y = 0.29, z = 14.65
i = 2586, x = 11.51, y = 0.29, z = 14.65
i = 2589, x = 11.51, y = 0.74, z = 14.65
i = 2592, x = -4.31, y = 0.29, z = 14.65
i = 2595, x = -4.31, y = 0.74, z = 14.65
i = 2598, x = -4.31, y = 0.74, z = 15.53
i = 2601, x = 3.60, y = 0.29, z = 15.53
i = 2604, x = 3.60, y = 0.74, z = 15.53
i = 2607, x = 6.23, y = 0.74, z = 15.53
i = 2610, x = -5.19, y = 0.29, z = 4.98
i = 2613, x = -11.23, y = 0.29, z = 4.98
i = 2616, x = -11.23, y = 0.74, z = 4.98
i = 2619, x = -5.19, y = 0.74, z = 4.98
i = 2622, x = -11.23, y = 0.74, z = 4.98
i = 2625, x = -11.22, y = 7.32, z = 4.98
i = 2628, x = -11.22, y = 7.32, z = 4.98
i = 2631, x = -4.31, y = 7.32, z = 4.98
i = 2634, x = -5.19, y = 0.74, z = 4.98
i = 2637, x = 0.42, y = 7.32, z = 4.98
i = 2640, x = 0.42, y = 0.74, z = 4.98
i = 2643, x = -4.31, y = 7.32, z = 4.98
i = 2646, x = -4.31, y = 0.74, z = 4.98
i = 2649, x = -5.19, y = 0.74, z = 4.98
i = 2652, x = -4.31, y = 7.32, z = 4.98
i = 2655, x = 11.51, y = 0.29, z = 5.86
i = 2658, x = 11.51, y = 0.74, z = 5.86
i = 2661, x = 11.51, y = 0.74, z = 5.01
i = 2664, x = 11.51, y = 7.32, z = 14.65
i = 2667, x = 11.51, y = 7.32, z = 15.53
i = 2670, x = 11.51, y = 7.76, z = 15.53
i = 2673, x = -4.31, y = 7.32, z = 4.98
i = 2676, x = -4.31, y = 7.76, z = 4.98
i = 2679, x = -4.31, y = 7.76, z = 5.86
i = 2682, x = 11.53, y = 0.74, z = -15.52
i = 2685, x = 11.51, y = 0.74, z = 5.01
i = 2688, x = 11.51, y = 7.32, z = 4.98
i = 2691, x = 11.51, y = 0.74, z = 14.65
i = 2694, x = 11.51, y = 7.32, z = 14.65
i = 2697, x = 12.38, y = 7.32, z = 14.65
i = 2700, x = 6.23, y = 0.74, z = 15.53
i = 2703, x = 6.23, y = 7.32, z = 15.53
i = 2706, x = 8.87, y = 7.32, z = 15.53
i = 2709, x = 11.51, y = 0.74, z = 14.65
i = 2712, x = 11.51, y = 0.74, z = 15.53
i = 2715, x = 11.51, y = 7.32, z = 15.53
i = 2718, x = 3.60, y = 0.74, z = 15.53
i = 2721, x = 3.60, y = 7.32, z = 15.53
i = 2724, x = 6.23, y = 7.32, z = 15.53
i = 2727, x = -4.31, y = 0.74, z = 14.65
i = 2730, x = -4.31, y = 7.32, z = 14.65
i = 2733, x = -4.31, y = 7.32, z = 15.53
i = 2736, x = -4.31, y = 0.74, z = 15.53
i = 2739, x = -4.31, y = 7.32, z = 15.53
i = 2742, x = -1.17, y = 7.32, z = 15.53
i = 2745, x = 11.51, y = 0.74, z = 5.01
i = 2748, x = 11.51, y = 0.74, z = 5.86
i = 2751, x = 11.51, y = 7.32, z = 5.86
i = 2754, x = 0.42, y = 0.74, z = 4.98
i = 2757, x = 0.42, y = 7.32, z = 4.98
i = 2760, x = 0.42, y = 7.32, z = 5.86
i = 2763, x = 0.42, y = 7.32, z = 5.86
i = 2766, x = 0.42, y = 6.17, z = 5.86
i = 2769, x = 0.42, y = 6.17, z = 4.98
i = 2772, x = 3.49, y = 7.32, z = 4.99
i = 2775, x = 3.48, y = 7.32, z = 5.87
i = 2778, x = 11.51, y = 7.32, z = 5.86
i = 2781, x = 6.23, y = 7.32, z = 15.53
i = 2784, x = 6.23, y = 7.76, z = 15.53
i = 2787, x = 8.87, y = 7.76, z = 15.53
i = 2790, x = 12.38, y = 7.32, z = 4.94
i = 2793, x = 11.51, y = 7.32, z = 4.98
i = 2796, x = 11.51, y = 7.76, z = 4.98
i = 2799, x = 11.51, y = 7.32, z = 4.98
i = 2802, x = 11.51, y = 7.32, z = 5.86
i = 2805, x = 11.51, y = 7.76, z = 5.86
i = 2808, x = 11.51, y = 0.74, z = 7.65
i = 2811, x = 12.39, y = 0.74, z = 7.66
i = 2814, x = 12.38, y = 7.32, z = 7.58
i = 2817, x = 11.51, y = 7.32, z = 5.86
i = 2820, x = 12.38, y = 7.32, z = 5.89
i = 2823, x = 12.38, y = 7.76, z = 5.89
i = 2826, x = -4.31, y = 7.32, z = 14.65
i = 2829, x = -4.31, y = 7.76, z = 14.65
i = 2832, x = -4.31, y = 7.76, z = 15.53
i = 2835, x = -4.31, y = 7.32, z = 15.53
i = 2838, x = -4.31, y = 7.76, z = 15.53
i = 2841, x = -1.17, y = 7.76, z = 15.53
i = 2844, x = 8.87, y = 7.32, z = 15.53
i = 2847, x = 8.87, y = 7.76, z = 15.53
i = 2850, x = 11.51, y = 7.76, z = 15.53
i = 2853, x = -4.31, y = 0.74, z = 5.86
i = 2856, x = 0.42, y = 0.74, z = 5.86
i = 2859, x = 0.42, y = 7.32, z = 5.86
i = 2862, x = -4.31, y = 0.74, z = 5.86
i = 2865, x = -4.31, y = 0.74, z = 4.98
i = 2868, x = 0.42, y = 0.74, z = 4.98
i = 2871, x = -4.31, y = 7.32, z = 4.98
i = 2874, x = -4.31, y = 7.32, z = 5.86
i = 2877, x = 0.42, y = 7.32, z = 5.86
i = 2880, x = 3.49, y = 7.32, z = 4.99
i = 2883, x = 0.42, y = 7.32, z = 4.98
i = 2886, x = 0.42, y = 7.32, z = 5.86
i = 2889, x = 11.51, y = 7.32, z = 4.98
i = 2892, x = 11.51, y = 0.74, z = 4.99
i = 2895, x = 3.49, y = 0.74, z = 4.99
i = 2898, x = 0.42, y = 7.32, z = 5.86
i = 2901, x = 0.42, y = 6.17, z = 5.86
i = 2904, x = 3.48, y = 6.17, z = 5.87
i = 2907, x = 3.49, y = 7.32, z = 4.99
i = 2910, x = 3.49, y = 6.17, z = 4.99
i = 2913, x = 0.42, y = 6.17, z = 4.98
i = 2916, x = 3.49, y = 7.32, z = 4.99
i = 2919, x = 3.49, y = 6.17, z = 4.99
i = 2922, x = 3.48, y = 6.17, z = 5.87
i = 2925, x = -1.17, y = 0.29, z = 15.10
i = 2928, x = -1.16, y = 0.29, z = 10.69
i = 2931, x = -1.16, y = 0.74, z = 10.69
i = 2934, x = -1.16, y = 0.74, z = 10.69
i = 2937, x = -1.17, y = 0.74, z = 15.53
i = 2940, x = -1.17, y = 0.29, z = 15.10
i = 2943, x = 3.48, y = 0.74, z = 5.87
i = 2946, x = 3.48, y = 7.32, z = 5.87
i = 2949, x = 3.49, y = 7.32, z = 4.99
i = 2952, x = 11.51, y = 7.32, z = 5.86
i = 2955, x = 3.48, y = 7.32, z = 5.87
i = 2958, x = 3.48, y = 0.74, z = 5.87
i = 2961, x = 11.51, y = 0.74, z = 5.86
i = 2964, x = 11.51, y = 0.74, z = 4.99
i = 2967, x = -4.31, y = 0.74, z = 4.98
i = 2970, x = -12.40, y = 0.28, z = -15.53
i = 2973, x = -11.22, y = 0.29, z = -15.53
i = 2976, x = -11.22, y = -1.47, z = -15.53
i = 2979, x = -11.22, y = -1.47, z = -15.53
i = 2982, x = -11.22, y = -6.74, z = -15.53
i = 2985, x = -12.40, y = -6.74, z = -15.53
i = 2988, x = -1.15, y = -1.51, z = 5.86
i = 2991, x = -4.31, y = -1.51, z = 5.86
i = 2994, x = -4.31, y = -6.74, z = 5.86
i = 2997, x = 11.51, y = 0.74, z = 5.86
i = 3000, x = 3.48, y = 0.74, z = 5.87
i = 3003, x = 3.49, y = 0.74, z = 4.99
i = 3006, x = 11.51, y = 0.29, z = 12.78
i = 3009, x = 12.39, y = 0.29, z = 12.78
i = 3012, x = 12.39, y = -1.31, z = 12.78
i = 3015, x = 11.51, y = 0.74, z = 15.53
i = 3018, x = 11.51, y = 0.74, z = 14.65
i = 3021, x = 11.51, y = -1.51, z = 14.65
i = 3024, x = 11.51, y = 0.74, z = 14.65
i = 3027, x = 11.51, y = 0.29, z = 14.65
i = 3030, x = 11.50, y = 0.29, z = 10.72
i = 3033, x = -11.22, y = 0.74, z = -15.53
i = 3036, x = 11.53, y = 0.74, z = -15.52
i = 3039, x = 11.51, y = 7.32, z = -15.53
i = 3042, x = 4.92, y = -6.74, z = 4.98
i = 3045, x = 4.92, y = 0.29, z = 4.98
i = 3048, x = 8.52, y = 0.29, z = 4.98
i = 3051, x = 11.51, y = -6.74, z = 9.73
i = 3054, x = 11.51, y = -5.02, z = 9.73
i = 3057, x = 11.51, y = -5.02, z = 7.79
i = 3060, x = 8.52, y = -6.74, z = 4.98
i = 3063, x = 4.92, y = -6.74, z = 4.98
i = 3066, x = 4.92, y = -6.74, z = 5.86
i = 3069, x = 8.52, y = 0.29, z = 4.98
i = 3072, x = 11.51, y = 0.29, z = 4.98
i = 3075, x = 11.51, y = -6.74, z = 4.98
i = 3078, x = 4.92, y = -6.74, z = 5.86
i = 3081, x = 4.92, y = -1.31, z = 5.86
i = 3084, x = 4.92, y = -1.31, z = 4.98
i = 3087, x = 4.92, y = 0.29, z = 5.86
i = 3090, x = 4.92, y = -6.74, z = 5.86
i = 3093, x = 8.52, y = -6.74, z = 5.86
i = 3096, x = 11.51, y = -5.02, z = 9.73
i = 3099, x = 11.51, y = -1.31, z = 9.73
i = 3102, x = 11.51, y = -1.51, z = 7.79
